name,href,search_point_url,timestamp
Kaya Çiçekçilik - Eylem KAYA FIRAT,https://www.google.com/maps/place/Kaya+%C3%87i%C3%A7ek%C3%A7ilik+-+Eylem+KAYA+FIRAT/data=!4m7!3m6!1s0x14bbd16c8c5f61bf:0x9a5590a782c99955!8m2!3d38.5534397!4d27.0488366!16s%2Fg%2F11d_s4_9m2!19sChIJv2FfjGzRuxQRVZnJgqeQVZo?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@32.8597,39.9168,15z",2025-03-31 02:08:41.700207
Kaya çiçekçilik ve organizasyon,https://www.google.com/maps/place/Kaya+%C3%A7i%C3%A7ek%C3%A7ilik+ve+organizasyon/data=!4m7!3m6!1s0x153181c3794617a1:0x1db63d505c9679de!8m2!3d37.0257158!4d37.9772851!16s%2Fg%2F11qg__r8qy!19sChIJoRdGecOBMRUR3nmWXFA9th0?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@32.906,39.9168,15z",2025-03-31 02:08:57.510121
Sait Kaya Garden's Çiçekçilik ve Organizasyon,https://www.google.com/maps/place/Sait+Kaya+Garden%27s+%C3%87i%C3%A7ek%C3%A7ilik+ve+Organizasyon/data=!4m7!3m6!1s0x14cab7bdca1c96a7:0x76b2114df272a002!8m2!3d41.0621176!4d28.9851812!16s%2Fg%2F11wb_bhdky!19sChIJp5Ycyr23yhQRAqBy8k0RsnY?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@32.906,39.9168,15z",2025-03-31 02:08:57.856673
KAYA KUMAŞ KINA EVi ÇİÇEK PARTİ EVİ,https://www.google.com/maps/place/KAYA+KUMA%C5%9E+KINA+EVi+%C3%87%C4%B0%C3%87EK+PART%C4%B0+EV%C4%B0/data=!4m7!3m6!1s0x14cad069388c43c1:0x5e75d12bc360da1f!8m2!3d40.9676776!4d29.2626616!16s%2Fg%2F11g6y_y41z!19sChIJwUOMOGnQyhQRH9pgwyvRdV4?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@32.906,39.9168,15z",2025-03-31 02:08:58.175685
KAYA ÇİÇEK EVİ,https://www.google.com/maps/place/KAYA+%C3%87%C4%B0%C3%87EK+EV%C4%B0/data=!4m7!3m6!1s0x409d3fb41d44b591:0xbce27fcf7e53738e!8m2!3d40.7327266!4d31.6016954!16s%2Fg%2F11v0tkhd68!19sChIJkbVEHbQ_nUARjnNTfs9_4rw?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@32.906,39.9168,15z",2025-03-31 02:08:58.393202
Alp Kaya Butik Çiçek,https://www.google.com/maps/place/Alp+Kaya+Butik+%C3%87i%C3%A7ek/data=!4m7!3m6!1s0x152b130024057f87:0x44cf5478f52440e4!8m2!3d38.7236017!4d35.5357094!16s%2Fg%2F11vzfry3ps!19sChIJh38FJAATKxUR5EAk9XhUz0Q?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@32.906,39.9168,15z",2025-03-31 02:08:58.646609
Kaya Çiçekçilik,https://www.google.com/maps/place/Kaya+%C3%87i%C3%A7ek%C3%A7ilik/data=!4m7!3m6!1s0x14b0bb1009fddadd:0x30b410f5757833a1!8m2!3d39.480801!4d26.926359!16s%2Fg%2F11bychm3w0!19sChIJ3dr9CRC7sBQRoTN4dfUQtDA?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@32.906,39.9168,15z",2025-03-31 02:08:58.755332
Kaya Çiçekçilik - Eylem KAYA FIRAT,https://www.google.com/maps/place/Kaya+%C3%87i%C3%A7ek%C3%A7ilik+-+Eylem+KAYA+FIRAT/data=!4m7!3m6!1s0x14bbd16c8c5f61bf:0x9a5590a782c99955!8m2!3d38.5534397!4d27.0488366!16s%2Fg%2F11d_s4_9m2!19sChIJv2FfjGzRuxQRVZnJgqeQVZo?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@32.906,39.9168,15z",2025-03-31 02:08:58.920735
Kaya çiçekçilik ve organizasyon,https://www.google.com/maps/place/Kaya+%C3%A7i%C3%A7ek%C3%A7ilik+ve+organizasyon/data=!4m7!3m6!1s0x153181c3794617a1:0x1db63d505c9679de!8m2!3d37.0257158!4d37.9772851!16s%2Fg%2F11qg__r8qy!19sChIJoRdGecOBMRUR3nmWXFA9th0?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@27.1428,38.4237,15z",2025-03-31 02:09:12.873486
Sait Kaya Garden's Çiçekçilik ve Organizasyon,https://www.google.com/maps/place/Sait+Kaya+Garden%27s+%C3%87i%C3%A7ek%C3%A7ilik+ve+Organizasyon/data=!4m7!3m6!1s0x14cab7bdca1c96a7:0x76b2114df272a002!8m2!3d41.0621176!4d28.9851812!16s%2Fg%2F11wb_bhdky!19sChIJp5Ycyr23yhQRAqBy8k0RsnY?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@27.1428,38.4237,15z",2025-03-31 02:09:12.933741
Kaya Çiçekçilik,https://www.google.com/maps/place/Kaya+%C3%87i%C3%A7ek%C3%A7ilik/data=!4m7!3m6!1s0x14b0bb1009fddadd:0x30b410f5757833a1!8m2!3d39.480801!4d26.926359!16s%2Fg%2F11bychm3w0!19sChIJ3dr9CRC7sBQRoTN4dfUQtDA?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@27.1428,38.4237,15z",2025-03-31 02:09:12.992680
KAYA KUMAŞ KINA EVi ÇİÇEK PARTİ EVİ,https://www.google.com/maps/place/KAYA+KUMA%C5%9E+KINA+EVi+%C3%87%C4%B0%C3%87EK+PART%C4%B0+EV%C4%B0/data=!4m7!3m6!1s0x14cad069388c43c1:0x5e75d12bc360da1f!8m2!3d40.9676776!4d29.2626616!16s%2Fg%2F11g6y_y41z!19sChIJwUOMOGnQyhQRH9pgwyvRdV4?authuser=0&hl=en&rclk=1,"https://www.google.com/maps/search/Kaya Çiçekçilik/@27.1428,38.4237,15z",2025-03-31 02:09:13.053164
